sample	Ng_complex	Ng_branch	Ng_bisect	Ng_coreFuc	Ng_sia
GTEX-111VG-0526-SM-5N9BW	-0.548040232023972	-0.548040232023972	-0.548040232023972	-0.548040232023972	-0.926690299768737
GTEX-111VG-0726-SM-5GIDC	-1.47137963117595	-1.47137963117595	-1.47137963117595	-1.47137963117595	-1.47137963117595
GTEX-111VG-1626-SM-5EGIO	-0.889205886582489	-0.889205886582489	-1.08202381777221	-1.02498498220717	-1.94951808486176
GTEX-111VG-1926-SM-5GIDO	-0.891740416729215	-0.891740416729215	-0.891740416729215	-0.891740416729215	-0.935336065667273
GTEX-111VG-2226-SM-5N9DU	-0.770107245959849	-0.770107245959849	-0.770107245959849	-0.770107245959849	-0.770107245959849
GTEX-111VG-2326-SM-5N9BK	0.172586752777646	0.172586752777646	0.172586752777646	-0.0668125153795056	-0.176487681180199
GTEX-111VG-2426-SM-5GZXD	-0.338896941692498	-0.338896941692498	-0.338896941692498	-0.480585976350419	-0.434673451501314
GTEX-111VG-2526-SM-5GZXP	-0.381843225438138	-0.381843225438138	-0.381843225438138	-0.381843225438138	-0.381843225438138
GTEX-111VG-2626-SM-5GZY2	-2.1759952658231	-2.1759952658231	-2.1759952658231	-2.1759952658231	-2.1759952658231
GTEX-111YS-0006-SM-5NQBE	-2.85162575618888	-2.85162575618888	-2.85162575618888	-2.85162575618888	-2.85162575618888
GTEX-111YS-0008-SM-5Q5BH	0.221484957374992	-0.287295787462165	-1.17999258239298	0.221484957374992	-1.29757898151039
GTEX-111YS-0126-SM-5987T	-0.861973968012787	-0.861973968012787	-1.13230206136076	-0.899691711348313	-0.994171663569336
GTEX-111YS-0326-SM-5GZZ3	-1.86323192880216	-1.86323192880216	-1.86323192880216	-1.86323192880216	-1.86323192880216
GTEX-111YS-0426-SM-5987O	-2.00733679484806	-2.00733679484806	-2.00733679484806	-2.00733679484806	-2.37819746987675
