sample	GM3_reach	GM2_reach	GM1_reach	GD3_reach
GTEX-1C64N-0326-SM-7P8QC	-2.15648063980962	-2.15648063980962	-2.15648063980962	-2.15648063980962
GTEX-1C64N-0426-SM-7PC31	-0.320540625264236	-0.320540625264236	-0.320540625264236	-0.320540625264236
GTEX-1C64N-0526-SM-7PC32	-1.04910645198927	-1.04910645198927	-1.04910645198927	-1.04910645198927
GTEX-1C64N-0826-SM-7RHGQ	-1.10780591763993	-1.10780591763993	-1.10780591763993	-1.10780591763993
GTEX-1C64N-1026-SM-79ONM	-0.480269645601584	-0.480269645601584	-0.480269645601584	-0.480269645601584
GTEX-1C64N-1326-SM-7SB7D	-0.281992129962032	-0.491058465086965	-0.491058465086965	-0.281992129962032
GTEX-1C64N-2226-SM-7SB7C	-0.385230984631848	-0.385230984631848	-0.385230984631848	-0.385230984631848
GTEX-1C64N-2626-SM-7PC2N	-1.30803341888804	-1.30803341888804	-1.30803341888804	-1.30803341888804
GTEX-1C64N-2826-SM-7IGP5	-1.42944118374869	-1.42944118374869	-1.42944118374869	-1.42944118374869
GTEX-1C64N-2926-SM-79OLM	-0.317110259459906	-0.317110259459906	-0.317110259459906	-0.317110259459906
GTEX-1C64N-3026-SM-7MGVU	-2.26859740485474	-2.26859740485474	-2.26859740485474	-2.26859740485474
GTEX-1C64N-3126-SM-79OO3	-0.96186931638966	-0.96186931638966	-0.96186931638966	-0.96186931638966
GTEX-1C64N-3226-SM-7P8SN	-1.2020912019246	-1.2020912019246	-1.2020912019246	-1.2020912019246
GTEX-1C64O-0006-SM-7PC22	-2.5240811286272	-2.5240811286272	-2.5240811286272	-2.5240811286272
GTEX-1C64O-0008-SM-EXUR5	-0.259570370270362	-0.628658386611846	-1.3220421536606	-1.14150812742933
GTEX-1C64O-0126-SM-7SB8P	-0.700216584922718	-0.700216584922718	-0.700216584922718	-0.700216584922718
GTEX-1C64O-0226-SM-73KXB	-0.252020799822178	-0.46994071245134	-0.46994071245134	-0.252020799822178
GTEX-1C64O-0326-SM-73KVW	-1.72405201553224	-1.72405201553224	-1.86022480079869	-1.72405201553224
GTEX-1C64O-0426-SM-7SB8Q	-0.268786399240924	-0.268786399240924	-0.268786399240924	-0.684268080030181
