sample	sLeX_reachability
GTEX-11DXY-1526-SM-5H129	-0.394511480379364
GTEX-11DXY-1626-SM-5H12L	-0.920175296645785
GTEX-11DXY-2026-SM-5N9CZ	-0.483712410533174
GTEX-11DXY-2326-SM-5GICW	-0.919505581468497
GTEX-11DXY-2626-SM-5GIE7	-0.499012962643405
GTEX-11DXY-2726-SM-5GID2	-2.07333486212346
GTEX-11DXY-3026-SM-5N9CB	-0.690687736094408
GTEX-11DXY-3126-SM-5N9BT	-0.633727346132331
GTEX-11DXY-3226-SM-5GIDE	-0.945503411513418
GTEX-11DXZ-0006-SM-5LZZH	-1.67695549543264
GTEX-11DXZ-0126-SM-5EGGY	-1.14095870451385
GTEX-11DXZ-0226-SM-5EGGZ	-0.933871162644198
GTEX-11DXZ-0326-SM-5EGH1	-1.49805733121047
GTEX-11DXZ-0426-SM-5987Y	-0.487223601815424
GTEX-11DXZ-0526-SM-5GU7J	-0.445869597599385
GTEX-11DXZ-0626-SM-5GU77	-1.59600086055194
GTEX-11DXZ-0726-SM-5N9C4	-0.342957764770111
GTEX-11DXZ-0926-SM-5N9CG	-0.881791675313889
GTEX-11DXZ-1026-SM-5N9D5	-0.754250264374362
GTEX-11DXZ-1226-SM-5H11L	-0.633550916838497
GTEX-11DXZ-1326-SM-5H11X	-1.38829265443926
GTEX-11DXZ-1426-SM-5H12A	-0.829776517415895
GTEX-11DXZ-1626-SM-5GIDI	-0.778178108024894
GTEX-11DXZ-1726-SM-5H12M	-1.36385122152895
GTEX-11DXZ-1826-SM-5H12Y	-0.511970236897164
GTEX-11DXZ-1926-SM-5GZZL	-0.848703681515236
GTEX-11DXZ-2026-SM-5987S	-1.58156817758295
GTEX-11DXZ-2126-SM-59881	-1.08966777606555
GTEX-11DXZ-2326-SM-5EGGV	-1.83098266448388
GTEX-11DXZ-2426-SM-5N9DT	-2.19113932367152
GTEX-11DXZ-2526-SM-5N9BG	-0.3402006733793
GTEX-11DXZ-2626-SM-59882	-0.72088467851775
GTEX-11DYG-0006-SM-5NQB2	-4.22892359824784
GTEX-11DYG-0008-SM-5QGR5	-0.679205629671575
GTEX-11DYG-0011-R10b-SM-DNZZO	-0.862116993871448
GTEX-11DYG-0011-R11a-SM-DNZZP	-0.534681880016394
GTEX-11DYG-0011-R5a-SM-DO928	-1.37105163694911
GTEX-11DYG-0011-R6a-SM-DO936	-1.31041730657149
GTEX-11DYG-0011-R7b-SM-EXUS6	-1.48803104253226
GTEX-11DYG-0011-R8a-SM-DO93F	-1.55942793848372
GTEX-11DYG-0126-SM-59883	-1.57465027403714
GTEX-11DYG-0426-SM-5987J	-0.316379485041772
GTEX-11DYG-0826-SM-5N9GH	-0.451622985148561
GTEX-11DYG-0926-SM-5EGGW	-0.326693612512612
GTEX-11DYG-1026-SM-5A5JQ	-1.1328270835753
GTEX-11DYG-1226-SM-5N9DC	-0.0974612225267196
GTEX-11DYG-1326-SM-5N9DO	-0.374881609532359
GTEX-11DYG-1426-SM-5A5JR	-0.406811959447892
GTEX-11DYG-1526-SM-5A5JS	-1.65890061968838
GTEX-11DYG-1926-SM-5H12I	-0.138478990083224
GTEX-11DYG-2026-SM-5EGGX	-0.398860614817031
GTEX-11DYG-2526-SM-5N9BB	-0.983472302274463
GTEX-11DYG-2926-SM-5H132	-1.12934047515567
GTEX-11DYG-3126-SM-5A5L6	-0.131077220818469
GTEX-11DZ1-0008-SM-5QGR3	-0.420376271723228
GTEX-11DZ1-0011-R10b-SM-DO943	-1.1275041206428
GTEX-11DZ1-0011-R11b-SM-DO11W	-1.38067393889768
GTEX-11DZ1-0011-R2a-SM-DNZZM	-0.916455243928169
GTEX-11DZ1-0011-R3a-SM-DNZYY	-0.971674578422227
GTEX-11DZ1-0011-R5a-SM-DO11J	-1.43630732508864
GTEX-11DZ1-0011-R6b-SM-DNZZG	-1.33495149112533
GTEX-11DZ1-0011-R7a-SM-DNZZH	-1.56350874007009
GTEX-11DZ1-0011-R8b-SM-DNZZI	-1.451007274439
GTEX-11DZ1-0011-R9a-SM-DO933	-0.855759784049327
GTEX-11DZ1-0126-SM-5985Q	-0.538823705376599
