sample	OGN_Tn	OGN_Core1	OGN_Core2	OGN_sia
GTEX-P4PQ-0126-SM-2S1NM	0.0446189057631631	-0.894485135563719	-0.894485135563719	-0.894485135563719
GTEX-P4PQ-0226-SM-2S1NK	0.122392086711849	0.122392086711849	0.122392086711849	-0.410907356326419
GTEX-P4PQ-0326-SM-2HMJ8	-1.52735875087908	-1.52735875087908	-1.52735875087908	-1.78917163655848
GTEX-P4PQ-0426-SM-3NMCI	-0.952080145423476	-0.952080145423476	-0.952080145423476	-0.952080145423476
GTEX-P4PQ-0526-SM-2HMKR	-0.51468287348759	-0.51468287348759	-0.51468287348759	-0.642931348773275
GTEX-P4PQ-0626-SM-3NMCU	0.387481471001128	0.357870092060794	0.0904928377209728	-0.698310509482025
GTEX-P4PQ-0726-SM-3NMCR	-1.20241070994734	-1.20241070994734	-1.20241070994734	-1.20241070994734
GTEX-P4PQ-0926-SM-E9U4D	-0.810618904993148	-1.00979646432857	-1.00979646432857	-1.00979646432857
GTEX-P4PQ-1026-SM-3NMCN	-1.11081382988246	-1.59534257113352	-1.59534257113352	-1.59534257113352
GTEX-P4PQ-1526-SM-3NMCK	-0.974039209352316	-0.974039209352316	-0.974039209352316	-0.974039209352316
GTEX-P4PQ-1626-SM-2HMKK	-0.91793798296997	-1.1154836263145	-1.18806277210436	-1.68228622692514
GTEX-P4PQ-1726-SM-3NB15	-0.154594970245675	-0.154594970245675	-0.154594970245675	-0.154594970245675
GTEX-P4PQ-2026-SM-E9U4E	-0.309442706085399	-0.878183356397612	-0.878183356397612	-0.878183356397612
GTEX-P4PQ-2626-SM-33HC9	-0.663551354835582	-0.664313086875438	-0.664313086875438	-0.664313086875438
GTEX-P4QS-0005-SM-2I3EY	-3.81181594385036	-3.81181594385036	-3.81181594385036	-4.60665258994028
GTEX-P4QS-0008-SM-48TDY	-0.40072508354123	-0.40072508354123	-0.40072508354123	-0.40072508354123
GTEX-P4QS-0226-SM-3NB1U	-0.106816687894632	-0.106816687894632	-0.106816687894632	-0.106816687894632
GTEX-P4QS-0326-SM-2I3EU	0.0888436112004482	0.0888436112004482	0.0888436112004482	-0.615106556003734
GTEX-P4QS-0426-SM-3NMCQ	-0.284905936224225	-0.284905936224225	-0.284905936224225	-0.284905936224225
GTEX-P4QS-0526-SM-2I3ET	0.287479453445596	0.201020521907391	0.201020521907391	-0.386663790706294
GTEX-P4QS-0626-SM-3NMD1	0.0141721515827713	-0.0780602650135398	-0.174351117607781	-0.0780602650135398
GTEX-P4QS-0726-SM-3NMCZ	-0.83978259905893	-0.83978259905893	-0.83978259905893	-0.83978259905893
GTEX-P4QS-0926-SM-48TBS	-0.8330614446199	-0.8330614446199	-0.8330614446199	-0.8330614446199
GTEX-P4QS-1026-SM-3NMCW	-0.259042166777198	-1.6789414076119	-1.6789414076119	-1.6789414076119
GTEX-P4QS-1126-SM-3NMD5	-0.885655200223365	-0.885655200223365	-1.01333617487233	-1.46638311956597
GTEX-P4QS-1326-SM-3NMCD	-0.17360027597281	-0.17360027597281	-0.852094483667755	-0.585489414083197
GTEX-P4QS-1626-SM-2S1NH	-1.67330691410064	-1.67856087557415	-1.67856087557415	-1.67856087557415
GTEX-P4QS-1726-SM-3NB1V	0.228389196383433	0.228389196383433	0.208458946991754	0.0708209954708035
GTEX-P4QS-1826-SM-2S1NI	-0.703262511765579	-0.703262511765579	-0.703262511765579	-0.703262511765579
GTEX-P4QS-2026-SM-3NMCG	0.291556514957744	-0.739766105810551	-0.739766105810551	-0.739766105810551
